Сотрудник 1: Абрамова Мия Николаевна; IT-отдел; Художник-конструктор (дизайнер); 348241
Сотрудник 2: Агеева Ева Макаровна; IT-отдел; Техник-технолог; 130090
Сотрудник 3: Александрова София Лукинична; IT-отдел; Начальник автоколонны; 193482
Сотрудник 4: Александрова София Лукинична; IT-отдел; Начальник финансового отдела; 348050
Сотрудник 5: Алексеева Мия Львовна; IT-отдел; Ведущий научный сотрудник; 399408
Сотрудник 6: Алексеева София Марковна; IT-отдел; Техник по наладке и испытаниям; 318628
Сотрудник 7: Алешин Мирон Маркович; IT-отдел; Инженер по охране труда; 179195
Сотрудник 8: Андреев Михаил Филиппович; IT-отдел; Начальник отдела охраны труда; 241741
Сотрудник 9: Андреев Михаил Филиппович; IT-отдел; Документовед; 368978
Сотрудник 10: Аникин Степан Глебович; IT-отдел; Начальник отдела патентной и изобретательской работы; 122950
Сотрудник 11: Анисимова Варвара Михайловна; IT-отдел; Научный редактор; 486689
Сотрудник 12: Антипов Владислав Кириллович; IT-отдел; (начальник) научноисследовательским сектором (лабораторией), входящим в состав научно - исследовательского отдела (отделения, лаборатории) института; 244457
Сотрудник 13: Антонов Михаил Платонович; IT-отдел; Калькулятор; 270228
Сотрудник 14: Артемова Алиса Николаевна; IT-отдел; Копировщик; 173870
Сотрудник 15: Архипова Анастасия Александровна; IT-отдел; Управляющий отделением (фермой, сельскохозяйственным участком); 462187
Сотрудник 16: Балашов Савва Ильич; IT-отдел; Дежурный бюро пропусков; 483490
Сотрудник 17: Балашова Алиса Максимовна; IT-отдел; Инженер по научно-технической информации; 234738
Сотрудник 18: Балашова Алиса Максимовна; IT-отдел; Инженер-технолог (технолог); 487938
Сотрудник 19: Баранова Виктория Артёмовна; IT-отдел; Техник; 108935
Сотрудник 20: Басова Валерия Львовна; IT-отдел; Начальник отдела по связям с общественностью; 240137
Сотрудник 21: Белов Дмитрий Павлович; IT-отдел; Экспедитор по перевозке грузов; 137964
Сотрудник 22: Беляев Даниил Ярославович; IT-отдел; Финансовый директор (заместитель директора по финансам); 232189
Сотрудник 23: Борисов Александр Елисеевич; IT-отдел; Архивариус; 233291
Сотрудник 24: Борисов Григорий Викторович; IT-отдел; Главный специалист по защите информации; 462899
Сотрудник 25: Борисова Анна Андреевна; IT-отдел; Техник по наладке и испытаниям; 436940
Сотрудник 26: Борисова Полина Артёмовна; IT-отдел; Корпоративный секретарь акционерного общества; 209076
Сотрудник 27: Вавилов Никита Маркович; IT-отдел; Заместитель директора по коммерческим вопросам; 124724
Сотрудник 28: Васильев Кирилл Вадимович; IT-отдел; Экономист по сбыту; 488858
Сотрудник 29: Васильев Михаил Андреевич; IT-отдел; Начальник цеха опытного производства; 329617
Сотрудник 30: Васильева Алиса Кирилловна; IT-отдел; Начальник (руководитель) бригады (группы); 262680
Сотрудник 31: Васильева Анна Андреевна; IT-отдел; Оператор по диспетчерскому обслуживанию лифтов; 102594
Сотрудник 32: Васильева Анна Андреевна; IT-отдел; Директор типографии; 344564
Сотрудник 33: Власов Илья Васильевич; IT-отдел; Начальник отдела охраны окружающей среды; 245413
Сотрудник 34: Власов Степан Дмитриевич; IT-отдел; Начальник лаборатории (бюро) технико - экономических исследований; 362138
Сотрудник 35: Волков Алексей Арсеньевич; IT-отдел; Заместитель директора по капитальному строительству; 401467
Сотрудник 36: Волков Артур Даниилович; IT-отдел; Диспетчер; 316448
Сотрудник 37: Волков Гордей Иванович; IT-отдел; Начальник центральной заводской лаборатории; 270040
Сотрудник 38: Воробьев Илья Александрович; IT-отдел; Техник по инвентаризации строений и сооружений; 452761
Сотрудник 39: Воробьева Арина Михайловна; IT-отдел; Переводчик-дактилолог; 409449
Сотрудник 40: Воробьева Валерия Георгиевна; IT-отдел; Заведующий общежитием; 370327
Сотрудник 41: Воробьева Василиса Артёмовна; IT-отдел; Заведующий бюро пропусков; 468139
Сотрудник 42: Воробьева Виктория Григорьевна; IT-отдел; Техник по защите информации; 109097
Сотрудник 43: Воробьева Виктория Григорьевна; IT-отдел; Инженер-лаборант; 115296
Сотрудник 44: Воробьева Кира Николаевна; IT-отдел; Эксперт по промышленной безопасности подъемных сооружений; 185604
Сотрудник 45: Воронин Фёдор Павлович; IT-отдел; Инспектор по контролю за исполнением поручений; 138376
Сотрудник 46: Воронин Фёдор Павлович; IT-отдел; Методист по физической культуре; 203544
Сотрудник 47: Воронцов Георгий Андреевич; IT-отдел; Табельщик; 476278
Сотрудник 48: Герасимов Константин Максимович; IT-отдел; Начальник отдела стандартизации; 163887
Сотрудник 49: Глебов Платон Дмитриевич; IT-отдел; Специалист по оценке соответствия лифтов требованиям безопасности; 264311
Сотрудник 50: Голованов Григорий Платонович; IT-отдел; Аукционист; 489262
Сотрудник 51: Голубев Григорий Максимович; IT-отдел; Заведующий (начальник) научно - исследовательским отделом (отделением, лабораторией) института; 265248
Сотрудник 52: Голубев Николай Михайлович; IT-отдел; Экономист; 110830
Сотрудник 53: Горбачев Алексей Демьянович; IT-отдел; Менеджер по связям с инвесторами; 318985
Сотрудник 54: Горбачев Алексей Демьянович; IT-отдел; Табельщик; 339057
Сотрудник 55: Горшкова Ксения Денисовна; IT-отдел; Инженер; 298501
Сотрудник 56: Горячев Николай Даниилович; IT-отдел; Секретарь - машинистка; 268341
Сотрудник 57: Грачев Даниил Матвеевич; IT-отдел; Старший научный сотрудник; 233326
Сотрудник 58: Грачев Иван Семёнович; IT-отдел; Калькулятор; 177452
Сотрудник 59: Григорьев Михаил Александрович; IT-отдел; Инженер-электроник (электроник); 344757
Сотрудник 60: Григорьева Алиса Александровна; IT-отдел; Инженер; 309467
Сотрудник 61: Григорьева Вероника Ивановна; IT-отдел; Начальник гаража; 437932
Сотрудник 62: Гришин Дмитрий Тимофеевич; IT-отдел; Специалист по промышленной безопасности подъемных сооружений; 456171
Сотрудник 63: Гришин Никита Артёмович; IT-отдел; Экономист вычислительного (информационно - вычислительного) центра; 206105
Сотрудник 64: Гришин Роман Маркович; IT-отдел; Начальник производственной лаборатории (по контролю производства); 199382
Сотрудник 65: Громов Матвей Артёмович; IT-отдел; Начальник отдела капитального строительства; 421778
Сотрудник 66: Громова Злата Артёмовна; IT-отдел; Заведующий (начальник) отделом научно-технической информации; 430843
Сотрудник 67: Громова Злата Артёмовна; IT-отдел; Инженер-технолог (технолог); 459615
Сотрудник 68: Гусев Александр Андреевич; IT-отдел; Заведующий (начальник) отделом кадров; 391703
Сотрудник 69: Гусев Марк Андреевич; IT-отдел; Начальник отдела кадров; 339701
Сотрудник 70: Давыдова Алиса Кирилловна; IT-отдел; Главный научный сотрудник; 369529
Сотрудник 71: Дегтярев Макар Даниилович; IT-отдел; Экономист по договорной и претензионной работе; 476573
Сотрудник 72: Денисова Дарья Ярославовна; IT-отдел; Начальник отдела стандартизации; 172468
Сотрудник 73: Дмитриев Максим Владиславович; IT-отдел; Агент по продаже недвижимости; 306841
Сотрудник 74: Долгова Дарья Ярославовна; IT-отдел; Механик; 425719
Сотрудник 75: Долгова Дарья Ярославовна; IT-отдел; Финансовый директор (заместитель директора по финансам); 452194
Сотрудник 76: Егоров Сергей Ильич; IT-отдел; Техник по наладке и испытаниям; 162032
Сотрудник 77: Егорова Анна Михайловна; IT-отдел; Агент страховой; 353089
Сотрудник 78: Егорова Василиса Юрьевна; IT-отдел; Экономист по материально-техническому снабжению; 341942
Сотрудник 79: Емельянов Платон Фёдорович; IT-отдел; Главный метролог; 351083
Сотрудник 80: Емельянова Маргарита Николаевна; IT-отдел; Начальник лаборатории (бюро) социологии труда; 369280
Сотрудник 81: Ерофеев Кирилл Всеволодович; IT-отдел; Инспектор фонда; 188530
Сотрудник 82: Ефремов Владимир Матвеевич; IT-отдел; Заведующая машинописным бюро; 384563
Сотрудник 83: Ефремова Ксения Егоровна; IT-отдел; Агент; 139834
Сотрудник 84: Жуков Иван Константинович; IT-отдел; Крупье; 242818
Сотрудник 85: Жуков Степан Максимович; IT-отдел; Мастер контрольный (участка, цеха); 399121
Сотрудник 86: Завьялова Ангелина Данииловна; IT-отдел; Стенографистка; 109977
Сотрудник 87: Зайцева Вероника Владиславовна; IT-отдел; Инженер по организации управления производством; 444086
Сотрудник 88: Захаров Артём Русланович; IT-отдел; Специалист по кадрам; 100015
Сотрудник 89: Захарова Екатерина Германовна; IT-отдел; Заведующий производством (шеф-повар); 182421
Сотрудник 90: Золотов Егор Михайлович; IT-отдел; Инженер по инвентаризации строений и сооружений; 364552
Сотрудник 91: Зорина Валерия Артемьевна; IT-отдел; Чертежник; 218316
Сотрудник 92: Зорина Валерия Артемьевна; IT-отдел; Менеджер по рекламе; 230106
Сотрудник 93: Зубков Максим Владиславович; IT-отдел; Инженер-технолог (технолог); 294372
Сотрудник 94: Зубкова Полина Тимуровна; IT-отдел; Коммивояжер; 309464
Сотрудник 95: Зубов Лев Робертович; IT-отдел; Инженер по наладке и испытаниям; 103078
Сотрудник 96: Зубов Лев Робертович; IT-отдел; Инженер по автоматизированным системам управления производством; 172794
Сотрудник 97: Зыкова Милена Матвеевна; IT-отдел; Агент торговый; 310846
Сотрудник 98: Иванов Артём Романович; IT-отдел; Ассистент инспектора фонда; 224049
Сотрудник 99: Иванова Милана Марковна; IT-отдел; Главный метролог; 484729
Сотрудник 100: Ильин Серафим Леонидович; IT-отдел; Начальник отдела автоматизированной системы управления производством; 340180
Сотрудник 101: Ильина Вера Петровна; IT-отдел; Агент рекламный; 285309
Сотрудник 102: Исаева Алиса Тимуровна; IT-отдел; Агент коммерческий; 137446
