Сотрудник 1: Александрова София Лукинична; IT-отдел; Инженер по автоматизированным системам управления производством; 157276
Сотрудник 2: Алексеев Матвей Юрьевич; IT-отдел; Начальник отдела охраны окружающей среды; 229484
Сотрудник 3: Анисимова Варвара Михайловна; IT-отдел; Техник по защите информации; 279872
Сотрудник 4: Баранова Милана Александровна; IT-отдел; Коммивояжер; 210145
Сотрудник 5: Белякова Злата Степановна; IT-отдел; Заведующий общежитием; 473010
Сотрудник 6: Васильева Варвара Ярославовна; IT-отдел; Инженер по качеству; 371912
Сотрудник 7: Вешняков Глеб Семёнович; IT-отдел; Инженер по защите информации; 238414
Сотрудник 8: Воробьева Кира Николаевна; IT-отдел; Статистик; 327562
Сотрудник 9: Грачева Елизавета Михайловна; IT-отдел; Хронометражист; 290632
Сотрудник 10: Гришин Никита Артёмович; IT-отдел; Брокер; 455373
Сотрудник 11: Зайцева Вероника Владиславовна; IT-отдел; Главный редактор; 373171
Сотрудник 12: Золотов Егор Михайлович; IT-отдел; Социолог; 185759
Сотрудник 13: Зуева Вера Арсеньевна; IT-отдел; Директор по связям с инвесторами; 307388
Сотрудник 14: Зыков Григорий Тимурович; IT-отдел; Начальник цеха опытного производства; 151989
Сотрудник 15: Иванов Александр Вячеславович; IT-отдел; Методист по физической культуре; 488445
Сотрудник 16: Иванов Матвей Маркович; IT-отдел; Начальник отдела стандартизации; 494032
Сотрудник 17: Иванов Святослав Олегович; IT-отдел; Заведующий общежитием; 336003
Сотрудник 18: Иванова Ангелина Владимировна; IT-отдел; Корректор; 477035
Сотрудник 19: Ильина София Максимовна; IT-отдел; Ведущий экономист; 436246
Сотрудник 20: Исаев Никита Платонович; IT-отдел; Учетчик; 468547
Сотрудник 21: Климов Родион Максимович; IT-отдел; Аудитор; 487034
Сотрудник 22: Ковалева Александра Савельевна; IT-отдел; Заведующий техническим архивом; 405456
Сотрудник 23: Козлов Михаил Владимирович; IT-отдел; Начальник нормативно-исследовательской лаборатории по труду; 246986
Сотрудник 24: Козлова Елизавета Фёдоровна; IT-отдел; Заведующий фотолабораторией; 107115
Сотрудник 25: Короткова Василиса Ярославовна; IT-отдел; Инженер-электроник (электроник); 442883
Сотрудник 26: Короткова Мария Гордеевна; IT-отдел; Художник; 234177
Сотрудник 27: Котова Ирина Марковна; IT-отдел; Аналитик; 235433
Сотрудник 28: Крылов Егор Дмитриевич; IT-отдел; Лаборант; 161282
Сотрудник 29: Кудряшов Арсений Макарович; IT-отдел; Техник; 251297
Сотрудник 30: Кузнецов Сергей Ильич; IT-отдел; Специалист по связям с общественностью; 300277
Сотрудник 31: Кузнецов Тимофей Матвеевич; IT-отдел; Начальник отдела по связям с инвесторами; 321074
Сотрудник 32: Кузнецова Татьяна Артемьевна; IT-отдел; Инженер-программист (программист); 156106
Сотрудник 33: Лапина Дарья Алексеевна; IT-отдел; Агент рекламный; 458876
Сотрудник 34: Лебедева София Матвеевна; IT-отдел; Стенографистка; 185072
Сотрудник 35: Лосев Иван Михайлович; IT-отдел; Главный диспетчер; 316704
Сотрудник 36: Лукьянов Александр Дмитриевич; IT-отдел; Корпоративный секретарь акционерного общества; 117168
Сотрудник 37: Лукьянов Иван Матвеевич; IT-отдел; Главный механик; 398126
Сотрудник 38: Максимова Нина Тимофеевна; IT-отдел; Экономист по труду; 144401
Сотрудник 39: Мельников Матвей Всеволодович; IT-отдел; Технический редактор; 171215
Сотрудник 40: Мельникова Полина Данииловна; IT-отдел; Специалист по оценке соответствия лифтов требованиям безопасности; 163241
Сотрудник 41: Молчанова Антонина Романовна; IT-отдел; Заместитель директора по капитальному строительству; 239242
Сотрудник 42: Никифоров Артём Сергеевич; IT-отдел; Оценщик; 301870
Сотрудник 43: Овсянников Матвей Миронович; IT-отдел; Специалист по кадрам; 304462
Сотрудник 44: Орлов Иван Павлович; IT-отдел; Директор (начальник) учреждения (организации); 449445
Сотрудник 45: Петров Даниил Александрович; IT-отдел; Начальник отдела комплектации оборудования; 417543
Сотрудник 46: Петров Сергей Сергеевич; IT-отдел; Специалист по кадрам; 416264
Сотрудник 47: Петрова Алиса Никитична; IT-отдел; Инженер-конструктор (конструктор); 210412
Сотрудник 48: Прокофьев Тимофей Васильевич; IT-отдел; Заведующий отделом (бюро) оформления проектных материалов; 263659
Сотрудник 49: Прокофьева Анна Романовна; IT-отдел; Инженер по охране окружающей среды (эколог); 203837
Сотрудник 50: Румянцева София Владимировна; IT-отдел; Начальник финансового отдела; 482439
Сотрудник 51: Савельева Ольга Юрьевна; IT-отдел; Директор гостиницы; 222714
Сотрудник 52: Семенова Яна Максимовна; IT-отдел; Заведующий производством (шеф-повар); 243301
Сотрудник 53: Смирнова Полина Егоровна; IT-отдел; Шеф-инженер; 327802
Сотрудник 54: Соловьев Матвей Львович; IT-отдел; Специалист по маркетингу; 349787
Сотрудник 55: Субботина Арина Леонидовна; IT-отдел; Инженер по охране труда; 367189
Сотрудник 56: Сычева Кристина Романовна; IT-отдел; Техник-проектировщик; 399839
Сотрудник 57: Устинов Максим Григорьевич; IT-отдел; Агент коммерческий; 174605
Сотрудник 58: Уткин Вячеслав Андреевич; IT-отдел; Комендант; 241958
Сотрудник 59: Федоров Иван Тимофеевич; IT-отдел; Архитектор; 458417
Сотрудник 60: Филатова Кира Владиславовна; IT-отдел; Инженер; 402116
Сотрудник 61: Цветков Александр Сергеевич; IT-отдел; Аукционист; 372774
Сотрудник 62: Цветкова Вероника Львовна; IT-отдел; Инженер по организации труда; 474602
Сотрудник 63: Чернышева Мария Данииловна; IT-отдел; Специалист по связям с общественностью; 316469
Сотрудник 64: Щербакова Вера Матвеевна; IT-отдел; Начальник автоколонны; 367866
Сотрудник 65: Бессонов Михаил Артёмович; PR-отдел; Начальник цеха опытного производства; 279965
Сотрудник 66: Боброва Александра Семёновна; PR-отдел; Специалист по связям с инвесторами; 437178
Сотрудник 67: Борисов Григорий Викторович; PR-отдел; Начальник отдела сбыта; 230777
Сотрудник 68: Борисова Мария Сергеевна; PR-отдел; (начальник) научноисследовательским сектором (лабораторией), входящим в состав научно - исследовательского отдела (отделения, лаборатории) института; 392558
Сотрудник 69: Булгаков Лев Михайлович; PR-отдел; Начальник отдела материально-технического снабжения; 224672
Сотрудник 70: Булгаков Лев Михайлович; PR-отдел; Оператор диспетчерской движения и погрузочно-разгрузочных работ; 415734
Сотрудник 71: Голованов Григорий Платонович; PR-отдел; Техник-лаборант; 119900
Сотрудник 72: Горячев Николай Даниилович; PR-отдел; Математик; 497612
Сотрудник 73: Гусева Вера Савельевна; PR-отдел; Финансовый директор (заместитель директора по финансам); 135212
Сотрудник 74: Данилов Лука Даниилович; PR-отдел; Делопроизводитель; 237389
Сотрудник 75: Евдокимова Лидия Константиновна; PR-отдел; Художник; 259852
Сотрудник 76: Жданов Артём Романович; PR-отдел; Специалист по промышленной безопасности подъемных сооружений; 123569
Сотрудник 77: Жуков Владимир Максимович; PR-отдел; Инженер-программист (программист); 276443
Сотрудник 78: Иванов Владимир Глебович; PR-отдел; Заведующий копировально-множительным бюро; 337917
Сотрудник 79: Иванова Арина Григорьевна; PR-отдел; Ведущий научный сотрудник; 150172
Сотрудник 80: Иванова Варвара Михайловна; PR-отдел; Начальник (руководитель) бригады (группы); 318147
Сотрудник 81: Игнатов Андрей Михайлович; PR-отдел; Товаровед; 498310
Сотрудник 82: Исаева Алиса Тимуровна; PR-отдел; Эксперт по промышленной безопасности подъемных сооружений; 442612
Сотрудник 83: Козлов Михаил Владимирович; PR-отдел; Техник; 444183
Сотрудник 84: Корольков Лев Максимович; PR-отдел; Секретарь незрячего специалиста; 332564
Сотрудник 85: Куликова Варвара Николаевна; PR-отдел; Секретарь-стенографистка; 359475
Сотрудник 86: Лебедева Виктория Александровна; PR-отдел; Экономист по бухгалтерскому учету и анализу хозяйственной деятельности; 454442
Сотрудник 87: Макарова Яна Данииловна; PR-отдел; Заведующий складом; 471773
Сотрудник 88: Малышев Арсений Германович; PR-отдел; Заведующий бюро пропусков; 444216
Сотрудник 89: Мальцева Анна Марковна; PR-отдел; Начальник отдела кадров; 354780
Сотрудник 90: Мальцева Арина Данииловна; PR-отдел; Заведующий отделом (бюро) оформления проектных материалов; 146097
Сотрудник 91: Маслов Даниил Ильич; PR-отдел; Экономист по бухгалтерскому учету и анализу хозяйственной деятельности; 418422
Сотрудник 92: Маслова Ксения Владимировна; PR-отдел; Научный сотрудник; 340330
Сотрудник 93: Минина Валентина Максимовна; PR-отдел; Ландшафтный архитектор; 196855
Сотрудник 94: Морозов Кирилл Максимович; PR-отдел; Художник; 182568
Сотрудник 95: Морозов Кирилл Максимович; PR-отдел; Техник по инвентаризации строений и сооружений; 388420
Сотрудник 96: Никифоров Георгий Даниилович; PR-отдел; Начальник отдела патентной и изобретательской работы; 340061
Сотрудник 97: Орлов Иван Павлович; PR-отдел; Начальник отдела автоматизированной системы управления производством; 448817
Сотрудник 98: Петров Егор Дмитриевич; PR-отдел; Заведующая машинописным бюро; 328326
Сотрудник 99: Прохорова Александра Вадимовна; PR-отдел; Техник-проектировщик; 426958
Сотрудник 100: Романова Маргарита Артёмовна; PR-отдел; Заведующий (начальник) отделом кадров; 329720
Сотрудник 101: Руднева София Кирилловна; PR-отдел; Менеджер по связям с общественностью; 150448
