Сотрудник 1: Аксенова Ульяна Дмитриевна; IT-отдел; Начальник отдела контроля качества; 260274
Сотрудник 2: Андреев Лев Платонович; IT-отдел; Экономист по сбыту; 341033
Сотрудник 3: Андреева Дарья Марковна; IT-отдел; Финансовый директор (заместитель директора по финансам); 181079
Сотрудник 4: Андреева Елена Артёмовна; IT-отдел; Начальник отдела комплектации оборудования; 338444
Сотрудник 5: Аникина Елизавета Артемьевна; IT-отдел; Оператор диспетчерской службы; 412791
Сотрудник 6: Баженова Алиса Сергеевна; IT-отдел; Экономист по материально-техническому снабжению; 286236
Сотрудник 7: Балашов Савва Ильич; IT-отдел; Лаборант; 351420
Сотрудник 8: Баранова Виктория Артёмовна; IT-отдел; Инженер по стандартизации; 233788
Сотрудник 9: Беспалов Фёдор Сергеевич; IT-отдел; Заведующий экспедицией; 287808
Сотрудник 10: Борисов Александр Елисеевич; IT-отдел; Специалист по оценке соответствия лифтов требованиям безопасности; 423832
Сотрудник 11: Булатов Михаил Михайлович; IT-отдел; Заведующий производством (шеф-повар); 487966
Сотрудник 12: Васильев Михаил Андреевич; IT-отдел; Ведущий инженер; 398660
Сотрудник 13: Виноградова Варвара Игоревна; IT-отдел; Инженер по охране труда; 153876
Сотрудник 14: Винокуров Иван Васильевич; IT-отдел; Экономист; 427449
Сотрудник 15: Винокуров Иван Васильевич; IT-отдел; Учетчик; 454200
Сотрудник 16: Власова Полина Данииловна; IT-отдел; Инженер-конструктор (конструктор); 165274
Сотрудник 17: Волкова Варвара Тимуровна; IT-отдел; Математик; 170009
Сотрудник 18: Волкова Варвара Тимуровна; IT-отдел; Начальник отдела материально-технического снабжения; 187619
Сотрудник 19: Воронина Екатерина Матвеевна; IT-отдел; Механик; 341299
Сотрудник 20: Воронцов Георгий Андреевич; IT-отдел; Начальник цеха (участка); 315000
Сотрудник 21: Воронцова Алина Максимовна; IT-отдел; Начальник отдела комплектации оборудования; 147809
Сотрудник 22: Гаврилов Лев Фёдорович; IT-отдел; Инженер по патентной и изобретательской работе; 265755
Сотрудник 23: Гаврилова Елизавета Леонидовна; IT-отдел; Заведующий фотолабораторией; 175678
Сотрудник 24: Глебов Платон Дмитриевич; IT-отдел; Заведующий фотолабораторией; 250664
Сотрудник 25: Горячев Николай Даниилович; IT-отдел; Диспетчер; 303783
Сотрудник 26: Григорьев Артемий Макарович; IT-отдел; Заведующий фотолабораторией; 273129
Сотрудник 27: Григорьева Анастасия Захаровна; IT-отдел; Инженер-проектировщик; 487561
Сотрудник 28: Гусев Семён Владиславович; IT-отдел; Копировщик; 217635
Сотрудник 29: Дмитриев Максим Владиславович; IT-отдел; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 105100
Сотрудник 30: Егорова Василиса Юрьевна; IT-отдел; Переводчик; 349648
Сотрудник 31: Ермакова Ева Степановна; IT-отдел; Художник; 112085
Сотрудник 32: Ерофеев Кирилл Всеволодович; IT-отдел; Главный конструктор проекта; 325926
Сотрудник 33: Ефимов Арсений Ильич; IT-отдел; Эксперт дорожного хозяйства; 419361
Сотрудник 34: Иванов Арсений Антонович; IT-отдел; Психолог; 110476
Сотрудник 35: Иванов Артём Романович; IT-отдел; Начальник центральной заводской лаборатории; 216249
Сотрудник 36: Иванов Роман Александрович; IT-отдел; Мастер участка; 241713
Сотрудник 37: Иванова Арина Григорьевна; IT-отдел; Начальник отдела капитального строительства; 425952
Сотрудник 38: Иванова Вероника Данииловна; IT-отдел; Переводчик-дактилолог; 497302
Сотрудник 39: Исаева Алиса Тимуровна; IT-отдел; Специалист по защите информации; 277189
Сотрудник 40: Калачева Арина Владиславовна; IT-отдел; Инженер по защите информации; 467693
Сотрудник 41: Карпов Михаил Всеволодович; IT-отдел; Брокер торговый; 412912
Сотрудник 42: Кириллова Анна Павловна; IT-отдел; Младший редактор; 250129
Сотрудник 43: Козлов Андрей Артёмович; IT-отдел; (начальник) научноисследовательским сектором (лабораторией), входящим в состав научно - исследовательского отдела (отделения, лаборатории) института; 123666
Сотрудник 44: Козлов Вадим Михайлович; IT-отдел; Социолог; 123093
Сотрудник 45: Козлова Алиса Марковна; IT-отдел; Техник по труду; 193072
Сотрудник 46: Корнилова Алиса Денисовна; IT-отдел; Начальник отдела по связям с общественностью; 172511
Сотрудник 47: Котова Василиса Васильевна; IT-отдел; Корпоративный секретарь акционерного общества; 292987
Сотрудник 48: Кузнецов Сергей Ильич; IT-отдел; Кодификатор; 132649
Сотрудник 49: Кузнецова Варвара Данииловна; IT-отдел; Экономист по труду; 155173
Сотрудник 50: Левина Маргарита Андреевна; IT-отдел; Инженер по подготовке кадров; 360976
Сотрудник 51: Леонов Егор Егорович; IT-отдел; Переводчик-дактилолог; 490446
Сотрудник 52: Леонова Валерия Никитична; IT-отдел; Начальник отдела автоматизации и механизации производственных процессов; 311707
Сотрудник 53: Лобанова Мария Руслановна; IT-отдел; Мастер контрольный (участка, цеха); 274320
Сотрудник 54: Макаров Алексей Богданович; IT-отдел; Начальник финансового отдела; 213922
Сотрудник 55: Мальцев Мирон Ярославович; IT-отдел; Оценщик; 186737
Сотрудник 56: Маслов Даниил Ильич; IT-отдел; Экономист по договорной и претензионной работе; 474512
Сотрудник 57: Мельникова Полина Данииловна; IT-отдел; Эксперт по оценке соответствия лифтов требованиям безопасности; 189140
Сотрудник 58: Меркулова Алиса Дмитриевна; IT-отдел; Экономист по сбыту; 151701
Сотрудник 59: Миронов Арсений Львович; IT-отдел; Заведующая машинописным бюро; 368809
Сотрудник 60: Михайлов Артём Егорович; IT-отдел; Заведующий общежитием; 496748
Сотрудник 61: Михайлова Ева Филиповна; IT-отдел; Корпоративный секретарь акционерного общества; 188602
Сотрудник 62: Никитина Вероника Вячеславовна; IT-отдел; Начальник производственной лаборатории (по контролю производства); 181637
Сотрудник 63: Никифоров Богдан Петрович; IT-отдел; Старший научный сотрудник; 442579
Сотрудник 64: Новиков Артемий Глебович; IT-отдел; Начальник отдела стандартизации; 231750
Сотрудник 65: Новиков Даниил Максимович; IT-отдел; Ведущий инженер; 446221
Сотрудник 66: Павлов Илья Серафимович; IT-отдел; Начальник производственной лаборатории (по контролю производства); 125238
Сотрудник 67: Панов Михаил Львович; IT-отдел; Инспектор фонда; 374418
Сотрудник 68: Петров Егор Дмитриевич; IT-отдел; Агент рекламный; 106138
Сотрудник 69: Петрова Варвара Данииловна; IT-отдел; Инженер по организации труда; 248150
Сотрудник 70: Попова Вера Матвеевна; IT-отдел; Заведующий копировально-множительным бюро; 403925
Сотрудник 71: Романов Даниил Андреевич; IT-отдел; Таксировщик; 486681
Сотрудник 72: Романова Маргарита Артёмовна; IT-отдел; Секретарь незрячего специалиста; 451960
Сотрудник 73: Румянцева София Владимировна; IT-отдел; Юрисконсульт; 204205
Сотрудник 74: Рыжов Егор Владимирович; IT-отдел; Дежурный бюро пропусков; 486327
Сотрудник 75: Рябов Матвей Романович; IT-отдел; Мастер участка; 302836
Сотрудник 76: Савельева Антонина Матвеевна; IT-отдел; Оценщик; 331910
Сотрудник 77: Савельева Ольга Юрьевна; IT-отдел; Начальник лаборатории (бюро) социологии труда; 406768
Сотрудник 78: Самсонов Роман Александрович; IT-отдел; Заместитель директора по капитальному строительству; 292758
Сотрудник 79: Семенова Анастасия Константиновна; IT-отдел; Начальник инструментального отдела; 478068
Сотрудник 80: Семенова Мирослава Семёновна; IT-отдел; Заместитель директора по связям с общественностью; 103032
Сотрудник 81: Семина София Алексеевна; IT-отдел; Физиолог; 168368
Сотрудник 82: Сидорова Вера Тимофеевна; IT-отдел; Начальник отдела социального развития; 463568
Сотрудник 83: Симонов Григорий Георгиевич; IT-отдел; Делопроизводитель; 236980
Сотрудник 84: Симонов Григорий Георгиевич; IT-отдел; Заведующий экспедицией; 243333
Сотрудник 85: Смирнов Дмитрий Ильич; IT-отдел; Техник по труду; 186305
Сотрудник 86: Смирнов Пётр Викторович; IT-отдел; Аналитик; 353151
Сотрудник 87: Соболева Дарья Егоровна; IT-отдел; Калькулятор; 179149
Сотрудник 88: Соколова Виктория Алексеевна; IT-отдел; Коммивояжер; 191974
Сотрудник 89: Сорокина София Никитична; IT-отдел; Калькулятор; 426538
Сотрудник 90: Спиридонова София Марковна; IT-отдел; Начальник юридического отдела; 126768
Сотрудник 91: Тарасов Арсений Тимофеевич; IT-отдел; Начальник нормативно-исследовательской лаборатории по труду; 356688
Сотрудник 92: Тарасов Святослав Никитич; IT-отдел; Младший редактор; 259432
Сотрудник 93: Тихомиров Арсений Львович; IT-отдел; Менеджер по связям с инвесторами; 174134
Сотрудник 94: Федоров Иван Тимофеевич; IT-отдел; Агент страховой; 292128
Сотрудник 95: Федорова Варвара Дмитриевна; IT-отдел; Заведующий складом; 379377
Сотрудник 96: Филиппов Никита Ярославович; IT-отдел; Главный энергетик; 350307
Сотрудник 97: Харитонов Георгий Андреевич; IT-отдел; Инкассатор; 332640
Сотрудник 98: Шевелев Тимофей Саввич; IT-отдел; Физиолог; 179137
Сотрудник 99: Яковлев Сергей Григорьевич; IT-отдел; Инспектор фонда; 314903
Сотрудник 100: Александрова Алина Лукинична; PR-отдел; Начальник финансового отдела; 168497
Сотрудник 101: Алешин Алексей Георгиевич; PR-отдел; Техник по стандартизации; 251039
Сотрудник 102: Антипов Владислав Кириллович; PR-отдел; Менеджер; 183016
Сотрудник 103: Баранова Виктория Артёмовна; PR-отдел; Начальник автоколонны; 439546
Сотрудник 104: Белоусов Иван Матвеевич; PR-отдел; Экономист по договорной и претензионной работе; 459570
Сотрудник 105: Беляев Даниил Ярославович; PR-отдел; Комендант; 442374
Сотрудник 106: Борисов Тимур Георгиевич; PR-отдел; Агент по снабжению; 241956
Сотрудник 107: Бочаров Егор Тимурович; PR-отдел; Производитель работ (прораб); 245171
Сотрудник 108: Васильев Владимир Николаевич; PR-отдел; Документовед; 194946
Сотрудник 109: Воронин Фёдор Павлович; PR-отдел; Чертежник; 138025
Сотрудник 110: Гаврилова Анастасия Ивановна; PR-отдел; Директор (начальник) учреждения (организации); 199107
Сотрудник 111: Глебов Платон Дмитриевич; PR-отдел; Главный метролог; 399059
Сотрудник 112: Гончарова Анастасия Макаровна; PR-отдел; Главный технолог; 208966
Сотрудник 113: Громов Даниил Матвеевич; PR-отдел; Техник по стандартизации; 299145
Сотрудник 114: Гусев Марк Андреевич; PR-отдел; Ведущий инженер; 465033
Сотрудник 115: Давыдов Илья Константинович; PR-отдел; Техник по инструменту; 473272
Сотрудник 116: Денисова Дарья Ярославовна; PR-отдел; Техник по стандартизации; 446557
Сотрудник 117: Дмитриев Максим Владиславович; PR-отдел; Инспектор по кадрам; 392788
Сотрудник 118: Егорова Екатерина Максимовна; PR-отдел; Чертежник; 160697
Сотрудник 119: Ермакова Ева Степановна; PR-отдел; Специалист по связям с инвесторами; 157067
Сотрудник 120: Зорина Валерия Артемьевна; PR-отдел; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 431240
Сотрудник 121: Зотова Кира Ярославовна; PR-отдел; Кассир; 449103
Сотрудник 122: Иванов Александр Михайлович; PR-отдел; Инженер по инвентаризации строений и сооружений; 216573
Сотрудник 123: Иванова Арина Никитична; PR-отдел; Техник по планированию; 442430
Сотрудник 124: Иванова Милана Марковна; PR-отдел; Оператор по диспетчерскому обслуживанию лифтов; 299370
Сотрудник 125: Исаев Максим Вадимович; PR-отдел; Директор по связям с инвесторами; 113611
Сотрудник 126: Казанцев Андрей Адамович; PR-отдел; Заведующий архивом; 360700
Сотрудник 127: Калачева Арина Владиславовна; PR-отдел; Товаровед; 227673
Сотрудник 128: Калинин Кирилл Дмитриевич; PR-отдел; Агент рекламный; 434361
Сотрудник 129: Калинина Елизавета Робертовна; PR-отдел; Инженер по охране труда; 330944
Сотрудник 130: Колесникова Арина Мироновна; PR-отдел; Начальник цеха (участка); 383829
Сотрудник 131: Корчагин Леонид Кириллович; PR-отдел; Делопроизводитель; 368481
Сотрудник 132: Кочеткова Василиса Михайловна; PR-отдел; Экономист по финансовой работе; 378695
Сотрудник 133: Кошелев Максим Тимофеевич; PR-отдел; Механик; 272075
Сотрудник 134: Крылов Егор Дмитриевич; PR-отдел; Мастер контрольный (участка, цеха); 349688
Сотрудник 135: Кузнецов Алексей Егорович; PR-отдел; Заместитель директора по управлению персоналом; 154308
Сотрудник 136: Кузнецов Тимофей Матвеевич; PR-отдел; Техник по труду; 104432
Сотрудник 137: Кузнецов Тимофей Матвеевич; PR-отдел; Заведующий (начальник) научно - исследовательским отделом (отделением, лабораторией) института; 441456
Сотрудник 138: Кузьмин Лев Андреевич; PR-отдел; Чертежник-конструктор; 465659
Сотрудник 139: Лазарев Савелий Никитич; PR-отдел; Дежурный (по выдаче справок, залу, этажу гостиницы, комнате отдыха, общежитию и др.); 372761
Сотрудник 140: Левин Илья Степанович; PR-отдел; Заведующий техническим архивом; 251470
Сотрудник 141: Леонов Лев Даниилович; PR-отдел; Заведующий конструкторским отделом; 249268
Сотрудник 142: Леонова Валерия Никитична; PR-отдел; Менеджер по связям с общественностью; 202367
Сотрудник 143: Логинова Вера Михайловна; PR-отдел; Экспедитор; 365568
Сотрудник 144: Лосев Иван Михайлович; PR-отдел; Экономист по договорной и претензионной работе; 386181
Сотрудник 145: Макаров Алексей Богданович; PR-отдел; Заведующий (начальник) отделом кадров; 194240
Сотрудник 146: Моисеев Максим Русланович; PR-отдел; Начальник производственной лаборатории (по контролю производства); 273505
Сотрудник 147: Назаров Ярослав Фёдорович; PR-отдел; Заведующий производством (шеф-повар); 261922
Сотрудник 148: Назарова Олеся Львовна; PR-отдел; Начальник финансового отдела; 238095
Сотрудник 149: Никитин Иван Константинович; PR-отдел; Ученый секретарь; 220249
Сотрудник 150: Никитин Марк Игоревич; PR-отдел; Экономист по финансовой работе; 169278
Сотрудник 151: Никифоров Артём Сергеевич; PR-отдел; Начальник ремонтного цеха; 173018
Сотрудник 152: Николаев Александр Даниилович; PR-отдел; Инженер по автоматизации и механизации производственных процессов; 368496
Сотрудник 153: Окулов Ярослав Владимирович; PR-отдел; Начальник отдела (лаборатории, сектора) по защите информации; 386463
Сотрудник 154: Осипова Вероника Михайловна; PR-отдел; Заведующий (начальник) отделом стандартизации; 354005
